,mejor_modelo,error
US_Stock_VT_adj_close,SARIMA,0.042982288613137
LME_PB_Close,SARIMA,0.0448521737823482
LME_CA_Close,GARCH,0.0407362426900857
LME_ZS_Close,GARCH,0.0710267778342885
LME_AH_Close,GARCH,0.0405651842835049
JPX_Gold_Standard_Futures_Close,SARIMA,0.055018637576795
JPX_Platinum_Standard_Futures_Close,SARIMA,0.0985614759287567
US_Stock_VYM_adj_close,SARIMA,0.0323157101506499
US_Stock_IEMG_adj_close,SARIMA,0.0558967855683181
FX_AUDJPY,SARFIMA,0.0382599812846231
US_Stock_VGIT_adj_close,GARCH,0.0152962974041937
FX_EURAUD,SARIMA,0.0633416907922578
FX_CADCHF,SARIMA,0.0366616139746513
FX_ZARCHF,SARIMA,0.0580521596631945
FX_NZDJPY,GARCH,0.0239185067751252
FX_CHFJPY,SARIMA,0.0292204605935944
US_Stock_VTV_adj_close,SARFIMA,0.032891689809598
US_Stock_OIH_adj_close,SARIMA,0.1012116458156404
FX_ZARUSD,SARFIMA,0.0308115652722495
FX_USDJPY,SARIMA,0.0315556598950854
FX_AUDCHF,SARIMA,0.0651957953977631
US_Stock_SLV_adj_close,SARIMA,0.0760045175829992
US_Stock_BKR_adj_close,SARFIMA,0.1489394550265803
FX_GBPJPY,SARIMA,0.0179210878474567
US_Stock_URA_adj_close,SARFIMA,0.1900596174853969
US_Stock_VEA_adj_close,GARCH,0.0605001944429552
FX_ZARJPY,GARCH,0.027214374126904
US_Stock_OKE_adj_close,SARIMA,0.1114772731416045
US_Stock_CVX_adj_close,SARIMA,0.0561204727257885
FX_CADUSD,SARIMA,0.0263584625826641
US_Stock_CCJ_adj_close,SARFIMA,0.2072322147788388
US_Stock_GLD_adj_close,no_definido,-1.0
US_Stock_FCX_adj_close,no_definido,-1.0
US_Stock_EWY_adj_close,no_definido,-1.0
FX_AUDCAD,no_definido,-1.0
US_Stock_VWO_adj_close,no_definido,-1.0
FX_NOKUSD,no_definido,-1.0
US_Stock_VGK_adj_close,no_definido,-1.0
US_Stock_RIO_adj_close,no_definido,-1.0
FX_EURCAD,no_definido,-1.0
US_Stock_HL_adj_close,no_definido,-1.0
US_Stock_TECK_adj_close,no_definido,-1.0
US_Stock_ALB_adj_close,no_definido,-1.0
FX_ZARGBP,no_definido,-1.0
FX_NOKGBP,no_definido,-1.0
FX_NOKEUR,no_definido,-1.0
US_Stock_EEM_adj_close,no_definido,-1.0
US_Stock_DE_adj_close,no_definido,-1.0
US_Stock_EWZ_adj_close,no_definido,-1.0
US_Stock_STLD_adj_close,no_definido,-1.0
US_Stock_SLB_adj_close,no_definido,-1.0
US_Stock_AMP_adj_close,no_definido,-1.0
US_Stock_CAT_adj_close,no_definido,-1.0
US_Stock_EOG_adj_close,no_definido,-1.0
US_Stock_TIP_adj_close,no_definido,-1.0
US_Stock_MS_adj_close,no_definido,-1.0
FX_NZDUSD,no_definido,-1.0
US_Stock_JNK_adj_close,no_definido,-1.0
US_Stock_ENB_adj_close,no_definido,-1.0
US_Stock_VXUS_adj_close,no_definido,-1.0
FX_NOKCHF,no_definido,-1.0
US_Stock_BNDX_adj_close,no_definido,-1.0
US_Stock_HES_adj_close,no_definido,-1.0
US_Stock_COP_adj_close,no_definido,-1.0
FX_CADJPY,no_definido,-1.0
US_Stock_OXY_adj_close,no_definido,-1.0
US_Stock_RSP_adj_close,no_definido,-1.0
US_Stock_HAL_adj_close,no_definido,-1.0
FX_EURUSD,no_definido,-1.0
FX_NZDCHF,no_definido,-1.0
FX_USDCHF,no_definido,-1.0
FX_EURNZD,no_definido,-1.0
US_Stock_TD_adj_close,no_definido,-1.0
US_Stock_RY_adj_close,no_definido,-1.0
FX_ZAREUR,no_definido,-1.0
US_Stock_XLB_adj_close,no_definido,-1.0
FX_EURGBP,no_definido,-1.0
US_Stock_VALE_adj_close,no_definido,-1.0
US_Stock_CLF_adj_close,no_definido,-1.0
US_Stock_DVN_adj_close,no_definido,-1.0
US_Stock_ACWI_adj_close,no_definido,-1.0
FX_GBPUSD,SARFIMA,0.0332988296454745
US_Stock_X_adj_close,SARIMA,0.1889745806495694
US_Stock_MPC_adj_close,SARIMA,0.0934233636425512
FX_NOKJPY,SARFIMA,0.0290182865623657
US_Stock_CVE_adj_close,SARIMA,0.1804608889454445
FX_EURCHF,SARFIMA,0.012389003572862
FX_EURJPY,SARIMA,0.0233879810880384
US_Stock_NEM_adj_close,GARCH,0.2113896551345328
FX_GBPNZD,SARIMA,0.0375201372966346
US_Stock_LYB_adj_close,GARCH,0.26070015907725336
US_Stock_NUE_adj_close,no_definido,-1.0
US_Stock_EFA_adj_close,no_definido,-1.0
US_Stock_XLE_adj_close,no_definido,-1.0
US_Stock_EWJ_adj_close,no_definido,-1.0
US_Stock_TRGP_adj_close,no_definido,-1.0
US_Stock_EWT_adj_close,no_definido,-1.0
US_Stock_WMB_adj_close,no_definido,-1.0
US_Stock_XOM_adj_close,no_definido,-1.0
US_Stock_KMI_adj_close,no_definido,-1.0
US_Stock_SCCO_adj_close,no_definido,-1.0
FX_AUDUSD,no_definido,-1.0
US_Stock_IEF_adj_close,no_definido,-1.0
US_Stock_SPYV_adj_close,no_definido,-1.0
US_Stock_WPM_adj_close,no_definido,-1.0
US_Stock_IAU_adj_close,no_definido,-1.0
